,Tile,TreeCover10,Shrubland20,Grassland30,Cropland40,Built_Up50,BareSparseVegetation60,SnowIce70,PermanentWaterBodies80,HerbaceousWetland90,Mangroves95,MossLichen100,ENS score,Average STD
55,33UVR,37.955858919549165,0.0,14.849239538800363,41.05854061406918,5.077780800621842,0.10534266096644643,0.0,0.9424860733255603,0.01075139266744397,0.0,0.0,0.2655598041312235,0.0595675675675675
56,33UWT,49.716959070881174,6.226002651031928e-07,16.686131018754587,29.44885183172111,2.5956759166388053,0.1512588666060254,0.0,1.1774684699660745,0.22365420283195955,0.0,0.0,0.2833578468520771,0.055453488372093
57,33UXP,25.72490534363444,0.00013707956851769561,11.703381252712356,53.48678578946137,5.696223230504167,0.16244838402029038,0.0,2.3955193821414555,0.8305995379573975,0.0,0.0,0.2809990857984311,0.0480743801652892
58,33UXQ,35.99563448501841,2.549950339717134e-06,15.437445893241229,43.02571688666363,4.605727953448107,0.06539666389997055,0.0,0.8332957215658225,0.03677984621249501,0.0,0.0,0.2412709033447992,0.0428333333333333
59,33VUE,53.80245045651875,0.0009550856153353375,16.22967906993022,13.023624040159245,2.1470542735135942,0.125439818701114,0.0,14.275016471803164,0.39578078375857384,0.0,0.0,0.307057668418059,0.0532307692307692
60,33VUF,53.41400930391219,6.161857706438254e-05,8.564793905577664,6.103916033104457,0.4251213516256706,0.03315079446063781,0.0,31.030275425180506,0.4286715675618121,0.0,0.0,0.3067863950840245,0.0471525423728813
61,33VUG,76.37966591830757,0.0006582300084807639,7.94781573586807,5.8386099601274655,0.4554270896405719,0.03759869255289211,0.0,8.84630353272477,0.49392084077018183,0.0,0.0,0.2695445803822524,0.0514736842105263
62,33VVG,76.9264000627761,0.002446154914090315,10.039562519051639,2.4972691394142306,0.29137965551619754,0.023679363064117127,0.0,9.099389442147908,1.1198736631157262,0.0,0.0,0.2968394072701934,0.0519824561403508
63,33VWE,59.65497197250132,0.0006255949233209941,15.009986779481755,8.398124801692227,0.9872654680063458,0.04871337916446325,0.0,15.511385510312005,0.3889264939185616,0.0,0.0,0.2641455849568977,0.0431666666666666
64,33VXG,57.34078489603003,0.007483510908168442,14.838464597566977,11.522988883929763,1.524907207135037,0.09955873321049961,0.0,13.675775721648108,0.9900364495714171,0.0,0.0,0.2860181947363754,0.0596666666666666
65,33VXH,25.657277781065527,0.006384910712964744,4.13180147874717,0.9865570120282287,0.41037591913124527,0.042063199982246155,0.0,34.51015020490894,0.5128655257356749,0.0,0.0,0.2936080472749615,0.0568749999999999
